"06/03 07:00",1.1 ,"06/03 15:00",8.4 ,"06/03",61.3,4.8 
"07/03 07:00",1.5 ,"07/03 15:00",9.4 ,"07/03",61.3,5.5 
"08/03 07:00",1.7 ,"08/03 15:00",10.3 ,"08/03",61.3,6
"09/03 07:00",1.8 ,"09/03 15:00",10,"09/03",61.3,6
"10/03 07:00",1.5 ,"10/03 15:00",10.8 ,"10/03",61.3,6.2 
"11/03 07:00",2.1 ,"11/03 15:00",10.9 ,"11/03",61.3,6.5 
"12/03 07:00",1.5 ,"12/03 15:00",10.9 ,"12/03",61.3,6.2 
"13/03 07:00",1.6 ,"13/03 15:00",11,"13/03",61.3,6.3 
"14/03 07:00",2.3 ,"14/03 15:00",10.7 ,"14/03",61.3,6.5 
"15/03 07:00",3.1 ,"15/03 15:00",12.1 ,"15/03",61.3,7.6 
"16/03 07:00",2.8 ,"16/03 15:00",12.2 ,"16/03",61.3,7.5 
"17/03 07:00",2.7 ,"17/03 15:00",11.8 ,"17/03",61.3,7.3 
"18/03 07:00",2.8 ,"18/03 15:00",12.3 ,"18/03",61.3,7.6 
"19/03 07:00",2.7 ,"19/03 15:00",11.4 ,"19/03",61.3,7
"20/03 07:00",2.6 ,"20/03 15:00",11.7 ,"20/03",61.3,7.2 
"21/03 07:00",3.5 ,"21/03 15:00",11.9 ,"21/03",61.3,7.7 
"22/03 07:00",2.8 ,"22/03 15:00",11.7 ,"22/03",61.3,7.3 
"23/03 07:00",3.2 ,"23/03 15:00",11.6 ,"23/03",61.3,7.4 
"24/03 07:00",3.5 ,"24/03 15:00",12.3 ,"24/03",61.3,7.9 
"25/03 07:00",4.1 ,"25/03 15:00",12.2 ,"25/03",61.3,8.2 
"26/03 07:00",3.9 ,"26/03 15:00",12.1 ,"26/03",61.3,8
"27/03 07:00",2.8 ,"27/03 15:00",11.6 ,"27/03",61.3,7.2 
"28/03 07:00",2.9 ,"28/03 15:00",12.2 ,"28/03",61.3,7.6 
